analysis_id,ttk75pinjp53575
gene_accession_id,MGI:1336200
parameter_name,Mean-corpuscular-haemoglobin
gene_symbol,Hpca
pvalue,0.2398725
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
parameter_id,M-G-P_016_001_006
