analysis_id,ewvshq048h0q30w
parameter_id,MGP_MLN_033_001
parameter_name,Resting NK cells - % of NK cells
gene_symbol,Slc17a9
pvalue,0.513789
mouse_life_stage,Early adult
gene_accession_id,MGI:1919107
mouse_strain,C57BL
