analysis_id,f5ggp124nvnh42z
pvalue,0.8869509
gene_symbol,Sfpq
parameter_id,MGP_MLN_010_001
mouse_life_stage,Early adult
parameter_name,Resting Treg cells - % of Treg
gene_accession_id,MGI:1918764
mouse_strain,C57BL
