analysis_id,8y121drnokk0q82
mouse_life_stage,Early adult
pvalue,0.1895463
parameter_name,Center average speed
gene_symbol,Exd1
gene_accession_id,MGI:3045306
mouse_strain,C57BL
parameter_id,JAXLA_OFD_017_001
