analysis_id,s65vp0f4gbt31r9
gene_accession_id,MGI:1921262
mouse_strain,C57BL
pvalue,0.5562234
gene_symbol,Rap2b
parameter_id,IMPC_XRY_007_001
mouse_life_stage,Early adult
parameter_name,Clavicle
