analysis_id,6650p941l8z1f28
pvalue,0.4551861
gene_symbol,Rab3gap2
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Vibrissae - presence
parameter_id,JAXLA_CSD_023_001
gene_accession_id,MGI:1916043
