analysis_id,h05p91v59w1k8ej
parameter_id,IMPC_GRS_009_001
gene_symbol,Snap23
mouse_life_stage,Late adult
gene_accession_id,MGI:109356
mouse_strain,C57BL
parameter_name,Forelimb and hindlimb grip strength measurement mean
pvalue,0.291481
