parameter_name,Total protein
analysis_id,73568o8419111rt
pvalue,0.5518421
gene_symbol,Arpc2
mouse_life_stage,Early adult
gene_accession_id,MGI:1923959
mouse_strain,129SV
parameter_id,IMPC_CBC_006_001
