gene_symbol,Il1r1
gene_accession_id,MGI:96545
parameter_name,CD11b-high cDC - % of cDC
mouse_life_stage,Early adult
analysis_id,38h07u44w8x25j1
mouse_strain,C57BL
parameter_id,MGP_IMM_066_001
pvalue,0.9735271
