analysis_id,td328a3w765xov3
mouse_life_stage,Early adult
parameter_name,Plasmacytoid DC - % of DC
mouse_strain,C57BL
gene_accession_id,MGI:2444777
gene_symbol,Ncaph
pvalue,0.5381981
parameter_id,MGP_MLN_058_001
