gene_symbol,Galnt13
gene_accession_id,MGI:2139447
parameter_id,IMPC_XRY_025_001
mouse_strain,C57BL
parameter_name,Tibia
pvalue,0.9447306
analysis_id,5986c63b4755u23
mouse_life_stage,Late adult
