parameter_name,Total cholesterol
parameter_id,IMPC_CBC_015_001
pvalue,0.1520236
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Mapkap1
analysis_id,8im6c25y9qd6d95
gene_accession_id,MGI:2444554
