parameter_id,IMPC_OWT_004_001
parameter_name,Right kidney weight
gene_symbol,Duoxa2
gene_accession_id,MGI:1914061
pvalue,0.2224643
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,d1d8v9b6214506f
