parameter_id,MGP_CSD_008_001
analysis_id,0y4kc9az3ljx5uw
pvalue,0.217436
mouse_strain,C57BL
gene_accession_id,MGI:1915033
mouse_life_stage,Early adult
gene_symbol,Ahctf1
parameter_name,Startle response
