gene_symbol,Ahctf1
parameter_id,IMPC_CSD_029_001
parameter_name,Activity (body position)
mouse_life_stage,Early adult
pvalue,0.3483714
mouse_strain,C57BL
gene_accession_id,MGI:1915033
analysis_id,f8s0za2i8t13k5b
