gene_symbol,Lurap1
parameter_name,Eosinophils
gene_accession_id,MGI:1915325
analysis_id,58805y1c6598sd2
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_052_001
pvalue,0.53453
mouse_strain,C57BL
