analysis_id,ds9a408c3muwf72
parameter_name,Thoracic processes
mouse_life_stage,Early adult
pvalue,0.8121441
gene_symbol,Ap5s1
mouse_strain,C57BL
parameter_id,IMPC_XRY_064_001
gene_accession_id,MGI:1916846
