analysis_id,4bigpr41ttwe3p5
parameter_name,PP3 + pulse startle magnitude
mouse_strain,C57BL
parameter_id,ESLIM_011_001_009
gene_symbol,Lamb3
pvalue,0.401529
gene_accession_id,MGI:99915
mouse_life_stage,Early adult
