parameter_id,JAX_OFD_013_001
gene_symbol,Opn3
pvalue,0.5242562
mouse_strain,C57BL
gene_accession_id,MGI:1338022
analysis_id,q697t2uj67984t9
mouse_life_stage,Early adult
parameter_name,Periphery average speed
