parameter_id,IMPC_IMM_032_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Gfi1b
gene_accession_id,MGI:1276578
analysis_id,y91p90xo0glm637
parameter_name,CD8 CD44+CD62L- T cells
pvalue,0.616295
