parameter_name,Forebrain
mouse_strain,C57BL
analysis_id,8ti21gtg86fz6i2
gene_accession_id,MGI:1921688
mouse_life_stage,Early adult
pvalue,0.3795544
parameter_id,IMPC_GEL_028_001
gene_symbol,Clvs1
