gene_symbol,Usp37
analysis_id,wa773aza70295g7
gene_accession_id,MGI:2442483
parameter_name,CD4+ CD44+ CD62L- alpha beta effector T cell percentage
parameter_id,MGP_PBI_009_001
pvalue,0.4443483
mouse_life_stage,Early adult
mouse_strain,C57BL
