parameter_name,Edema
mouse_strain,C57BL
gene_symbol,Fpgs
mouse_life_stage,Early adult
pvalue,0.5425416
gene_accession_id,MGI:95576
parameter_id,IMPC_GEO_064_001
analysis_id,a8ck9t8665e6x0o
