gene_symbol,Alkbh3
mouse_life_stage,Early adult
analysis_id,9u7hk05m16jq40r
parameter_id,MGP_MLN_071_001
pvalue,0.7687146
mouse_strain,C57BL
gene_accession_id,MGI:1916363
parameter_name,Resting Treg cells - % of CD45+
