parameter_name,Anophthalmia
mouse_strain,C57BL
pvalue,0.352001
parameter_id,IMPC_GEO_048_002
analysis_id,698lo92xm2ki069
gene_accession_id,MGI:1914071
mouse_life_stage,E12.5
gene_symbol,Bcs1l
