mouse_life_stage,Middle aged adult
parameter_id,IMPC_CBC_001_001
analysis_id,c15c2p2t066iq07
mouse_strain,C57BL
pvalue,0.6113121
gene_symbol,Snap23
parameter_name,Sodium
gene_accession_id,MGI:109356
