parameter_name,Distance travelled - total
gene_accession_id,MGI:2684980
gene_symbol,Mms22l
analysis_id,8gckqqyz1r63y0m
parameter_id,HRWLLA_OFD_020_001
mouse_strain,C57BL
pvalue,0.1920387
mouse_life_stage,Early adult
