analysis_id,0vy5x2jk2iqq0w2
gene_accession_id,MGI:1913483
pvalue,0.8372093
parameter_name,% Pre-pulse inhibition - Global
gene_symbol,Dmap1
mouse_life_stage,E9.5
parameter_id,IMPC_ACS_037_001
mouse_strain,C57BL
