analysis_id,r9m57h4d8d24y68
parameter_id,IMPC_GEL_060_001
mouse_strain,C57BL
mouse_life_stage,E9.5
gene_symbol,Bcs1l
gene_accession_id,MGI:1914071
pvalue,0.4142148
parameter_name,Neural tube morphology
