analysis_id,5583a053e012q14
gene_accession_id,MGI:96757
pvalue,0.4891234
gene_symbol,Lcn2
parameter_name,PP3 + pulse startle magnitude
parameter_id,ESLIM_011_001_009
mouse_life_stage,Early adult
mouse_strain,C57BL
