analysis_id,0w5e5v53wot4q34
pvalue,0.9935302
mouse_strain,C57BL
parameter_id,M-G-P_014_001_001
parameter_name,Eye
gene_symbol,Slc30a4
gene_accession_id,MGI:1345282
mouse_life_stage,Late adult
