parameter_name,Caudal processes
analysis_id,a58m2sg0623760w
parameter_id,IMPC_XRY_067_001
gene_symbol,Bach2
pvalue,0.2716709
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:894679
