parameter_id,MGP_BMI_006_001
mouse_strain,C57BL
parameter_name,Immature B cells (Hardy fraction E) - % of B220+
analysis_id,5e1ocxha042027a
gene_symbol,Npbwr1
mouse_life_stage,Early adult
gene_accession_id,MGI:891989
pvalue,0.7361942
