analysis_id,hsdd596qxyr7c4t
gene_accession_id,MGI:1920638
parameter_name,Lens Opacity
parameter_id,IMPC_EYE_017_001
mouse_life_stage,Early adult
pvalue,0.7993709
gene_symbol,Bpifa3
mouse_strain,129SV
