gene_symbol,Trim46
mouse_strain,C57BL
gene_accession_id,MGI:2673000
analysis_id,c0e1njo6rpn00cd
parameter_id,MGP_BMI_006_001
parameter_name,Immature B cells (Hardy fraction E) - % of B220+
mouse_life_stage,Early adult
pvalue,0.2579683
