parameter_name,Retina (combined)
parameter_id,IMPC_EYE_092_001
gene_accession_id,MGI:2140475
pvalue,0.3958638
gene_symbol,AU040320
mouse_strain,C57BL
mouse_life_stage,Late adult
analysis_id,u230h683960s3b6
