analysis_id,hgy40quck1kxi44
mouse_strain,C57BL
parameter_id,IMPC_CSD_016_001
parameter_name,Coat - hair texture / appearance - abdomen
gene_symbol,Mapkap1
pvalue,0.2246272
gene_accession_id,MGI:2444554
mouse_life_stage,E15.5
