parameter_name,Retina (combined)
pvalue,0.893094
parameter_id,IMPC_EYE_092_001
analysis_id,y6a21um7y9kwu48
gene_symbol,Rap2b
mouse_life_stage,Early adult
gene_accession_id,MGI:1921262
mouse_strain,C57BL
