analysis_id,2x0kr048ci79q1d
pvalue,0.3232228
gene_symbol,Inpp1
mouse_strain,C57BL
parameter_name,Effector CD4- NKT cells - % of CD4- NKT cells
mouse_life_stage,Early adult
gene_accession_id,MGI:104848
parameter_id,MGP_IMM_026_001
