gene_symbol,Stk35
analysis_id,56o5619vmaj98d2
mouse_life_stage,Early adult
parameter_name,Hindlimb nail - number
pvalue,0.4399197
mouse_strain,C57BL
gene_accession_id,MGI:1914583
parameter_id,IMPC_CSD_051_002
