mouse_strain,B6J
analysis_id,ptc9q5f221s2tk4
mouse_life_stage,Early adult
parameter_id,IMPC_GEO_019_001
parameter_name,Embryo Size
pvalue,0.4171715
gene_accession_id,MGI:1346344
gene_symbol,Nr0b2
