gene_symbol,Nanp
mouse_strain,C57BL
parameter_id,IMPC_GEO_011_001
mouse_life_stage,Early adult
parameter_name,Blood Vessel Morphology
pvalue,0.9935195
analysis_id,v4732qo9lg04738
gene_accession_id,MGI:1914561
