gene_symbol,Ilkap
parameter_id,IMPC_HEM_006_001
mouse_strain,C57BL
parameter_name,Mean corpuscular hemoglobin
analysis_id,27j4mt3i5ru88rl
gene_accession_id,MGI:1914694
pvalue,0.9643184
mouse_life_stage,Early adult
