parameter_name,Eosinophils
analysis_id,w5yl51i85w28p9y
mouse_strain,C57BL
gene_accession_id,MGI:1918025
mouse_life_stage,Early adult
gene_symbol,Zmynd8
pvalue,0.6146578
parameter_id,IMPC_IMM_052_001
