analysis_id,3hcn3339ssn5er1
gene_symbol,Slc39a10
mouse_strain,C57BL
parameter_name,Number of rears - total
gene_accession_id,MGI:1914515
parameter_id,IMPC_OFD_021_001
mouse_life_stage,Early adult
pvalue,0.8324014
