gene_symbol,Lrrc69
mouse_life_stage,Early adult
gene_accession_id,MGI:1920564
mouse_strain,C57BL
parameter_name,Latency to center entry
parameter_id,IMPC_OFD_018_001
analysis_id,a976wsyo086c2u0
pvalue,0.27132
