gene_symbol,Sdcbp2
gene_accession_id,MGI:2385156
parameter_id,IMPC_OFD_017_001
mouse_strain,C57BL
analysis_id,2t6jw8547y104v5
pvalue,0.3728583
parameter_name,Center average speed
mouse_life_stage,Early adult
