analysis_id,4vb3tf939bs9bqq
gene_accession_id,MGI:3033992
mouse_strain,C57BL
parameter_id,MGP_IMM_101_001
mouse_life_stage,Early adult
parameter_name,KLRG1+ NK cells - % of CD45+
gene_symbol,Cldn19
pvalue,0.4904673
