analysis_id,w1b37qcw2d09z07
gene_symbol,Secisbp2l
gene_accession_id,MGI:1917604
parameter_id,ESLIM_008_001_001
pvalue,0.7275107
mouse_strain,C57BL
parameter_name,Body position
mouse_life_stage,Middle aged adult
