analysis_id,6tx2958134voqy7
parameter_name,Resting NK cells - % of CD45+
gene_symbol,Tbl1xr1
gene_accession_id,MGI:2441730
pvalue,0.3999335
parameter_id,MGP_IMM_100_001
mouse_life_stage,Early adult
mouse_strain,C57BL
