parameter_name,Iris/Pupil
gene_accession_id,MGI:1915087
mouse_life_stage,E12.5
analysis_id,6jpv2nva67f9068
pvalue,0.05667567
parameter_id,IMPC_EYE_010_001
mouse_strain,C57BL
gene_symbol,Tiprl
