mouse_strain,C3H
gene_accession_id,MGI:95457
gene_symbol,Mecom
pvalue,0.08547182
mouse_life_stage,Early adult
analysis_id,03305ho8p4ni857
parameter_name,Click-evoked ABR threshold
parameter_id,IMPC_ABR_002_001
