parameter_name,lens
gene_accession_id,MGI:95835
mouse_life_stage,E9.5
gene_symbol,Hspa5
pvalue,0.8689432
analysis_id,m51xjee7dx871rr
mouse_strain,C57BL
parameter_id,M-G-P_014_001_009
