parameter_name,Humerus
gene_accession_id,MGI:2444554
pvalue,0.8854968
analysis_id,p1948q32pd808wm
gene_symbol,Mapkap1
parameter_id,IMPC_XRY_021_001
mouse_strain,C57BL
mouse_life_stage,Early adult
