parameter_name,Right total retinal thickness
mouse_strain,C59BL
gene_symbol,Hspa5
parameter_id,IMPC_EYE_062_001
pvalue,0.2172587
analysis_id,i4yr7b8226h6uz1
gene_accession_id,MGI:95835
mouse_life_stage,E9.5
