parameter_name,Edema
analysis_id,8pa65688r7zjd2y
mouse_strain,C57BL
gene_accession_id,MGI:2651854
mouse_life_stage,Early adult
gene_symbol,Atg4c
parameter_id,IMPC_GEO_064_001
pvalue,0.4666835
