parameter_name,NKT cells (panel A)
gene_accession_id,MGI:2684980
analysis_id,t6ym7we2n1216hv
gene_symbol,MMS22L
pvalue,0.8303186
parameter_id,IMPC_IMM_004_001
mouse_strain,C57BL
mouse_life_stage,Early adult
