parameter_id,IMPC_CAL_008_001
gene_accession_id,MGI:1914672
analysis_id,4it5q998o95t045
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Total food intake
gene_symbol,Dhdds
pvalue,0.3920949
