gene_symbol,Snrpb2
mouse_strain,C57BL
gene_accession_id,MGI:104805
parameter_id,IMPC_IMM_034_001
analysis_id,44kdf188xjcq9d1
mouse_life_stage,Early adult
pvalue,0.5827406
parameter_name,CD8 CD44-CD62L+ T cells
