gene_symbol,Cpa3
analysis_id,2lt8980j77dr5wi
parameter_name,HRV
gene_accession_id,MGI:88479
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.268499
parameter_id,IMPC_ECG_010_001
