mouse_strain,C57BL
parameter_name,DN CD44+CD62L+ NKT cells
pvalue,0.5963163
gene_symbol,Mapkap1
analysis_id,4l824z98402k96c
parameter_id,IMPC_IMM_047_001
mouse_life_stage,E12.5
gene_accession_id,MGI:2444554
