analysis_id,z81db408c7qz228
gene_accession_id,MGI:1916363
parameter_name,Effector CD4- NKT cells - % of CD4- NKT cells
mouse_strain,C57BL
parameter_id,MGP_IMM_026_001
mouse_life_stage,Early adult
gene_symbol,Alkbh3
pvalue,0.4255864
