analysis_id,s98z9v33g32e0kh
gene_accession_id,MGI:1888742
pvalue,0.3383121
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_ECH_005_001
parameter_name,Fractional Shortening
gene_symbol,Extl1
