gene_symbol,Bmp7
parameter_name,Sacral processes
parameter_id,IMPC_XRY_066_001
mouse_strain,C57BL
pvalue,0.4204059
analysis_id,5875t360s20ec20
gene_accession_id,MGI:103302
mouse_life_stage,Early adult
